lr-Adam,created_at,loss/train,epoch,loss/val,score/val
0.0005,2021-07-22 02:02:18.731096,,,,
,2021-07-22 02:02:30.684166,1406.834716796875,0.0,,
,2021-07-22 02:02:34.609364,,0.0,790.3448486328125,2.0472347736358643
0.0005,2021-07-22 02:02:34.631823,,,,
,2021-07-22 02:02:47.154837,228.41302490234375,1.0,,
,2021-07-22 02:02:51.166877,,1.0,158.24441528320312,1.4801491498947144
0.0005,2021-07-22 02:02:51.185901,,,,
,2021-07-22 02:03:03.418327,123.7767333984375,2.0,,
,2021-07-22 02:03:07.353505,,2.0,119.06619262695312,1.1311335563659668
0.0005,2021-07-22 02:03:07.373046,,,,
,2021-07-22 02:03:19.810779,110.92945098876953,3.0,,
,2021-07-22 02:03:23.869387,,3.0,118.54554748535156,1.1295006275177002
0.0005,2021-07-22 02:03:23.884808,,,,
,2021-07-22 02:03:36.176041,109.56438446044922,4.0,,
,2021-07-22 02:03:40.073687,,4.0,99.03428649902344,0.9248704314231873
0.0005,2021-07-22 02:03:40.089406,,,,
,2021-07-22 02:03:52.161293,105.64091491699219,5.0,,
,2021-07-22 02:03:55.269818,,5.0,103.83002471923828,0.9708451628684998
0.0005,2021-07-22 02:03:55.285232,,,,
,2021-07-22 02:04:07.334796,108.85096740722656,6.0,,
,2021-07-22 02:04:11.168844,,6.0,90.92052459716797,0.8457937836647034
0.0005,2021-07-22 02:04:11.187305,,,,
,2021-07-22 02:04:23.388953,111.5331802368164,7.0,,
,2021-07-22 02:04:26.693404,,7.0,116.63541412353516,1.1102557182312012
0.0005,2021-07-22 02:04:26.709166,,,,
,2021-07-22 02:04:39.021294,107.75395202636719,8.0,,
,2021-07-22 02:04:42.096593,,8.0,110.46492004394531,1.0466389656066895
0.0005,2021-07-22 02:04:42.114690,,,,
,2021-07-22 02:04:54.056200,108.04933166503906,9.0,,
,2021-07-22 02:04:57.117404,,9.0,96.97672271728516,0.9113683104515076
0.0005,2021-07-22 02:04:57.132448,,,,
,2021-07-22 02:05:09.135708,106.83576202392578,10.0,,
,2021-07-22 02:05:12.828428,,10.0,89.0128173828125,0.8272514939308167
0.0005,2021-07-22 02:05:12.844282,,,,
,2021-07-22 02:05:25.208061,106.77681732177734,11.0,,
,2021-07-22 02:05:28.496716,,11.0,102.77429962158203,0.9686633348464966
0.0005,2021-07-22 02:05:28.512469,,,,
,2021-07-22 02:05:40.795824,105.66134643554688,12.0,,
,2021-07-22 02:05:43.872569,,12.0,89.4641342163086,0.8265909552574158
0.0005,2021-07-22 02:05:43.887873,,,,
,2021-07-22 02:05:55.855700,105.63304138183594,13.0,,
,2021-07-22 02:05:58.945183,,13.0,92.87652587890625,0.8695124387741089
0.0005,2021-07-22 02:05:58.960446,,,,
,2021-07-22 02:06:10.982069,106.39906311035156,14.0,,
,2021-07-22 02:06:14.650433,,14.0,87.76738739013672,0.8201993107795715
0.0005,2021-07-22 02:06:14.677583,,,,
,2021-07-22 02:06:26.863485,105.1862564086914,15.0,,
,2021-07-22 02:06:30.170197,,15.0,89.95022583007812,0.8342719674110413
0.0005,2021-07-22 02:06:30.185955,,,,
,2021-07-22 02:06:42.549399,105.71552276611328,16.0,,
,2021-07-22 02:06:45.840925,,16.0,92.5357437133789,0.8695809841156006
0.0005,2021-07-22 02:06:45.856172,,,,
,2021-07-22 02:06:57.846191,105.90616607666016,17.0,,
,2021-07-22 02:07:01.509046,,17.0,85.89934539794922,0.7967552542686462
0.0005,2021-07-22 02:07:01.536858,,,,
,2021-07-22 02:07:13.674486,104.8077392578125,18.0,,
,2021-07-22 02:07:16.798303,,18.0,93.73150634765625,0.8770658373832703
0.0005,2021-07-22 02:07:16.813510,,,,
,2021-07-22 02:07:28.792273,103.35677337646484,19.0,,
,2021-07-22 02:07:32.040109,,19.0,100.41889190673828,0.9480221271514893
