lr-RAdam,created_at,loss/train,epoch,loss/val,score/val
0.001,2021-07-18 06:42:57.336335,,,,
,2021-07-18 06:43:19.730696,98.73046875,0.0,,
,2021-07-18 06:43:30.146046,,0.0,80.53196716308594,0.7549360990524292
0.00095,2021-07-18 06:43:30.158014,,,,
,2021-07-18 06:43:52.179389,95.96781158447266,1.0,,
,2021-07-18 06:44:00.826701,,1.0,83.21216583251953,0.7811964154243469
0.0009025,2021-07-18 06:44:00.834680,,,,
,2021-07-18 06:44:22.660720,95.97222900390625,2.0,,
,2021-07-18 06:44:31.268493,,2.0,82.53306579589844,0.7744134068489075
0.000857375,2021-07-18 06:44:31.276467,,,,
,2021-07-18 06:44:53.238525,98.04266357421875,3.0,,
,2021-07-18 06:45:01.867684,,3.0,81.42453002929688,0.763218343257904
0.0008145062499999999,2021-07-18 06:45:01.876689,,,,
,2021-07-18 06:45:24.045562,95.50750732421875,4.0,,
,2021-07-18 06:45:32.657536,,4.0,84.33485412597656,0.8026939034461975
0.0007737809374999998,2021-07-18 06:45:32.666538,,,,
,2021-07-18 06:45:54.851605,95.5223388671875,5.0,,
,2021-07-18 06:46:03.475648,,5.0,97.76190948486328,0.9209267497062683
0.0007350918906249997,2021-07-18 06:46:03.484655,,,,
,2021-07-18 06:46:25.745768,95.73851776123047,6.0,,
,2021-07-18 06:46:34.418222,,6.0,81.74298095703125,0.7651231288909912
0.0006983372960937497,2021-07-18 06:46:34.426202,,,,
,2021-07-18 06:46:56.852251,94.98027801513672,7.0,,
,2021-07-18 06:47:05.639177,,7.0,85.08024597167969,0.7957560420036316
0.0006634204312890621,2021-07-18 06:47:05.648156,,,,
,2021-07-18 06:47:28.138727,95.56242370605469,8.0,,
,2021-07-18 06:47:36.799222,,8.0,84.29586029052734,0.791521430015564
0.000630249409724609,2021-07-18 06:47:36.808198,,,,
,2021-07-18 06:47:59.229545,94.3016128540039,9.0,,
,2021-07-18 06:48:07.817020,,9.0,85.56896209716797,0.8011718392372131
0.0005987369392383785,2021-07-18 06:48:07.826020,,,,
,2021-07-18 06:48:30.297722,95.81440734863281,10.0,,
,2021-07-18 06:48:38.928904,,10.0,82.10285186767578,0.7724252343177795
0.0005688000922764595,2021-07-18 06:48:38.937906,,,,
,2021-07-18 06:49:01.384539,94.5582275390625,11.0,,
,2021-07-18 06:49:10.022487,,11.0,81.26693725585938,0.7707597017288208
0.0005403600876626365,2021-07-18 06:49:10.032018,,,,
,2021-07-18 06:49:32.549424,94.404296875,12.0,,
,2021-07-18 06:49:41.206877,,12.0,90.02237701416016,0.8431634306907654
0.0005133420832795047,2021-07-18 06:49:41.215881,,,,
,2021-07-18 06:50:03.628493,94.69668579101562,13.0,,
,2021-07-18 06:50:12.301500,,13.0,82.65384674072266,0.7733349204063416
0.00048767497911552944,2021-07-18 06:50:12.309482,,,,
,2021-07-18 06:50:34.828185,92.37928771972656,14.0,,
,2021-07-18 06:50:43.440962,,14.0,85.7601089477539,0.7976027727127075
0.00046329123015975297,2021-07-18 06:50:43.448914,,,,
,2021-07-18 06:51:05.928319,94.25633239746094,15.0,,
,2021-07-18 06:51:14.553306,,15.0,81.98550415039062,0.7734805345535278
0.0004401266686517653,2021-07-18 06:51:14.562281,,,,
,2021-07-18 06:51:37.135620,93.29572296142578,16.0,,
,2021-07-18 06:51:45.782189,,16.0,80.6659927368164,0.7607220411300659
0.00041812033521917703,2021-07-18 06:51:45.791166,,,,
,2021-07-18 06:52:08.264620,93.2166519165039,17.0,,
,2021-07-18 06:52:18.303087,,17.0,80.50043487548828,0.756875216960907
0.00039721431845821814,2021-07-18 06:52:18.313027,,,,
,2021-07-18 06:52:41.022176,94.37150573730469,18.0,,
,2021-07-18 06:52:49.651914,,18.0,85.86907958984375,0.8082496523857117
0.0003773536025353072,2021-07-18 06:52:49.659918,,,,
,2021-07-18 06:53:12.248302,90.66329956054688,19.0,,
,2021-07-18 06:53:20.901976,,19.0,85.65726470947266,0.8021094799041748
0.0003584859224085418,2021-07-18 06:53:20.909978,,,,
