lr-Adam,created_at,loss/train,epoch,loss/val,score/val
0.0005,2021-07-22 04:39:16.567472,,,,
,2021-07-22 04:39:28.718363,1405.0750732421875,0.0,,
,2021-07-22 04:39:32.768076,,0.0,795.2874145507812,2.0777039527893066
0.0005,2021-07-22 04:39:32.783002,,,,
,2021-07-22 04:39:45.490361,235.09909057617188,1.0,,
,2021-07-22 04:39:49.516841,,1.0,129.16192626953125,1.241770625114441
0.0005,2021-07-22 04:39:49.536585,,,,
,2021-07-22 04:40:01.708723,114.58152770996094,2.0,,
,2021-07-22 04:40:05.506766,,2.0,96.64496612548828,0.9085220694541931
0.0005,2021-07-22 04:40:05.529273,,,,
,2021-07-22 04:40:17.795739,111.21550750732422,3.0,,
,2021-07-22 04:40:20.992171,,3.0,102.93264770507812,0.9782141447067261
0.0005,2021-07-22 04:40:21.008518,,,,
,2021-07-22 04:40:33.246782,112.72576141357422,4.0,,
,2021-07-22 04:40:36.659551,,4.0,103.09693908691406,0.9759832620620728
0.0005,2021-07-22 04:40:36.675965,,,,
,2021-07-22 04:40:49.419386,108.49349975585938,5.0,,
,2021-07-22 04:40:53.422139,,5.0,88.21027374267578,0.8273231983184814
0.0005,2021-07-22 04:40:53.454008,,,,
,2021-07-22 04:41:05.644243,109.33942413330078,6.0,,
,2021-07-22 04:41:08.950352,,6.0,96.4437484741211,0.9096890091896057
0.0005,2021-07-22 04:41:08.966047,,,,
,2021-07-22 04:41:21.731573,109.86736297607422,7.0,,
,2021-07-22 04:41:25.117631,,7.0,105.06610870361328,0.9986851215362549
0.0005,2021-07-22 04:41:25.135940,,,,
,2021-07-22 04:41:37.468346,108.53289794921875,8.0,,
,2021-07-22 04:41:41.278407,,8.0,85.02778625488281,0.7985291481018066
0.0005,2021-07-22 04:41:41.292367,,,,
,2021-07-22 04:41:53.777139,108.78517150878906,9.0,,
,2021-07-22 04:41:56.940626,,9.0,89.48960876464844,0.8406247496604919
0.0005,2021-07-22 04:41:56.956759,,,,
,2021-07-22 04:42:08.951539,108.58222198486328,10.0,,
,2021-07-22 04:42:12.335993,,10.0,99.66902160644531,0.9421096444129944
0.0005,2021-07-22 04:42:12.351999,,,,
,2021-07-22 04:42:25.204525,108.1446762084961,11.0,,
,2021-07-22 04:42:28.610607,,11.0,97.19939422607422,0.922971248626709
0.0005,2021-07-22 04:42:28.626991,,,,
,2021-07-22 04:42:41.038476,106.02638244628906,12.0,,
,2021-07-22 04:42:44.312805,,12.0,87.86293029785156,0.8243063688278198
0.0005,2021-07-22 04:42:44.334518,,,,
,2021-07-22 04:42:56.626811,106.47352600097656,13.0,,
,2021-07-22 04:42:59.859542,,13.0,96.64676666259766,0.9116294980049133
0.0005,2021-07-22 04:42:59.875322,,,,
,2021-07-22 04:43:12.020304,106.60130310058594,14.0,,
,2021-07-22 04:43:15.537108,,14.0,113.81085205078125,1.0909277200698853
0.0005,2021-07-22 04:43:15.556743,,,,
,2021-07-22 04:43:28.158268,104.62639617919922,15.0,,
,2021-07-22 04:43:31.542780,,15.0,90.52216339111328,0.852645754814148
0.0005,2021-07-22 04:43:31.558240,,,,
,2021-07-22 04:43:44.049206,106.93812561035156,16.0,,
,2021-07-22 04:43:48.147604,,16.0,82.9211196899414,0.7769460082054138
0.0005,2021-07-22 04:43:48.170886,,,,
,2021-07-22 04:44:00.305094,106.99522399902344,17.0,,
