lr-RAdam,created_at,loss/train,epoch,loss/val,score/val
0.001,2021-07-18 10:03:39.372667,,,,
,2021-07-18 10:04:01.884215,1612.518310546875,0.0,,
,2021-07-18 10:04:13.250407,,0.0,1246.50830078125,2.044822931289673
0.00095,2021-07-18 10:04:13.278330,,,,
,2021-07-18 10:04:35.877884,451.7490234375,1.0,,
,2021-07-18 10:04:47.143667,,1.0,139.85699462890625,1.348981261253357
0.0009025,2021-07-18 10:04:47.154639,,,,
,2021-07-18 10:05:09.767501,117.35000610351562,2.0,,
,2021-07-18 10:05:21.089682,,2.0,123.42822265625,1.1815266609191895
0.000857375,2021-07-18 10:05:21.099693,,,,
,2021-07-18 10:05:43.766237,112.22480773925781,3.0,,
,2021-07-18 10:05:55.097697,,3.0,115.2065200805664,1.0913811922073364
0.0008145062499999999,2021-07-18 10:05:55.109693,,,,
,2021-07-18 10:06:17.649731,111.94750213623047,4.0,,
,2021-07-18 10:06:29.021381,,4.0,94.8085708618164,0.8904801607131958
0.0007737809374999998,2021-07-18 10:06:29.030357,,,,
,2021-07-18 10:06:51.634035,110.27576446533203,5.0,,
,2021-07-18 10:07:01.697545,,5.0,129.18177795410156,1.2364970445632935
0.0007350918906249997,2021-07-18 10:07:01.708553,,,,
,2021-07-18 10:07:24.345123,110.05565643310547,6.0,,
,2021-07-18 10:07:34.303743,,6.0,94.8780746459961,0.8879134654998779
0.0006983372960937497,2021-07-18 10:07:34.321694,,,,
,2021-07-18 10:07:56.959223,109.34130096435547,7.0,,
,2021-07-18 10:08:08.218024,,7.0,91.71951293945312,0.8554041981697083
0.0006634204312890621,2021-07-18 10:08:08.229994,,,,
,2021-07-18 10:08:30.841020,110.77494812011719,8.0,,
,2021-07-18 10:08:42.109213,,8.0,89.77171325683594,0.8351678252220154
0.000630249409724609,2021-07-18 10:08:42.118189,,,,
,2021-07-18 10:09:04.716811,105.6399154663086,9.0,,
,2021-07-18 10:09:14.690066,,9.0,92.57645416259766,0.8659464716911316
0.0005987369392383785,2021-07-18 10:09:14.704056,,,,
,2021-07-18 10:09:37.348508,108.9832534790039,10.0,,
,2021-07-18 10:09:47.288302,,10.0,99.611083984375,0.9392714500427246
0.0005688000922764595,2021-07-18 10:09:47.317217,,,,
,2021-07-18 10:10:09.961532,106.7303695678711,11.0,,
,2021-07-18 10:10:19.960770,,11.0,99.3009262084961,0.9375580549240112
0.0005403600876626365,2021-07-18 10:10:19.980717,,,,
,2021-07-18 10:10:42.493925,103.8915023803711,12.0,,
,2021-07-18 10:10:52.503098,,12.0,94.42150115966797,0.8839895725250244
0.0005133420832795047,2021-07-18 10:10:52.518058,,,,
,2021-07-18 10:11:15.096816,104.28458404541016,13.0,,
,2021-07-18 10:11:26.678569,,13.0,89.34149932861328,0.8320032954216003
0.00048767497911552944,2021-07-18 10:11:26.688542,,,,
,2021-07-18 10:11:49.297442,106.0784912109375,14.0,,
,2021-07-18 10:11:59.312262,,14.0,102.0586929321289,0.9620699286460876
0.00046329123015975297,2021-07-18 10:11:59.325227,,,,
,2021-07-18 10:12:21.834460,106.01253509521484,15.0,,
,2021-07-18 10:12:31.725596,,15.0,110.68514251708984,1.0370804071426392
0.0004401266686517653,2021-07-18 10:12:31.741582,,,,
,2021-07-18 10:12:54.340350,105.7217788696289,16.0,,
,2021-07-18 10:13:05.583831,,16.0,88.94190979003906,0.832158088684082
0.00041812033521917703,2021-07-18 10:13:05.594825,,,,
,2021-07-18 10:13:28.241292,103.91638946533203,17.0,,
,2021-07-18 10:13:38.119494,,17.0,90.66673278808594,0.8533044457435608
0.00039721431845821814,2021-07-18 10:13:38.131459,,,,
,2021-07-18 10:14:00.740774,105.13921356201172,18.0,,
,2021-07-18 10:14:10.648379,,18.0,95.21707153320312,0.8999485373497009
0.0003773536025353072,2021-07-18 10:14:10.660347,,,,
,2021-07-18 10:14:33.158206,102.3221435546875,19.0,,
,2021-07-18 10:14:43.046881,,19.0,90.31732177734375,0.8421091437339783
0.0003584859224085418,2021-07-18 10:14:43.057851,,,,
,2021-07-18 10:15:05.636274,103.8626480102539,20.0,,
,2021-07-18 10:15:15.638264,,20.0,89.63595581054688,0.8427547216415405
0.0003405616262881147,2021-07-18 10:15:15.655219,,,,
,2021-07-18 10:15:38.401130,103.21162414550781,21.0,,
,2021-07-18 10:15:48.475837,,21.0,91.89038848876953,0.8597676157951355
0.00032353354497370894,2021-07-18 10:15:48.485810,,,,
,2021-07-18 10:16:11.109657,101.98856353759766,22.0,,
,2021-07-18 10:16:21.154411,,22.0,98.61307525634766,0.9324833750724792
0.00030735686772502346,2021-07-18 10:16:21.169402,,,,
,2021-07-18 10:16:43.812066,103.59459686279297,23.0,,
,2021-07-18 10:16:55.289775,,23.0,86.81788635253906,0.8124082088470459
0.00029198902433877225,2021-07-18 10:16:55.300745,,,,
,2021-07-18 10:17:17.990658,103.84424591064453,24.0,,
,2021-07-18 10:17:29.307846,,24.0,85.71234130859375,0.8015345335006714
0.00027738957312183364,2021-07-18 10:17:29.317819,,,,
,2021-07-18 10:17:51.946545,103.11187744140625,25.0,,
,2021-07-18 10:18:01.859526,,25.0,88.36517333984375,0.8226518630981445
0.0002635200944657419,2021-07-18 10:18:01.873523,,,,
,2021-07-18 10:18:24.500241,102.63628387451172,26.0,,
,2021-07-18 10:18:34.440055,,26.0,88.72560119628906,0.8364079594612122
0.0002503440897424548,2021-07-18 10:18:34.452022,,,,
,2021-07-18 10:18:57.050645,99.7603759765625,27.0,,
,2021-07-18 10:19:06.989764,,27.0,89.8443374633789,0.8443776369094849
0.00023782688525533205,2021-07-18 10:19:07.005721,,,,
,2021-07-18 10:19:29.651926,100.37675476074219,28.0,,
,2021-07-18 10:19:39.686522,,28.0,89.59955596923828,0.8396958708763123
0.00022593554099256544,2021-07-18 10:19:39.698460,,,,
,2021-07-18 10:20:02.393018,101.75394439697266,29.0,,
,2021-07-18 10:20:13.748784,,29.0,85.00273895263672,0.7956916093826294
0.00021463876394293716,2021-07-18 10:20:13.759754,,,,
,2021-07-18 10:20:36.413090,102.76771545410156,30.0,,
,2021-07-18 10:20:46.339814,,30.0,88.7508773803711,0.832403838634491
0.0002039068257457903,2021-07-18 10:20:46.348790,,,,
