lr-RAdam,created_at,loss/train,epoch,loss/val,score/val
0.001,2021-07-18 12:50:45.107450,,,,
,2021-07-18 12:51:08.219656,1610.26220703125,0.0,,
,2021-07-18 12:51:19.619123,,0.0,1260.5076904296875,2.0872175693511963
0.00095,2021-07-18 12:51:19.630094,,,,
,2021-07-18 12:51:42.890970,452.5603332519531,1.0,,
,2021-07-18 12:51:54.712632,,1.0,152.31053161621094,1.475548505783081
0.0009025,2021-07-18 12:51:54.723604,,,,
,2021-07-18 12:52:17.748396,115.31307220458984,2.0,,
,2021-07-18 12:52:29.264697,,2.0,140.24658203125,1.3547147512435913
0.000857375,2021-07-18 12:52:29.274670,,,,
,2021-07-18 12:52:52.074119,114.43860626220703,3.0,,
,2021-07-18 12:53:03.600687,,3.0,99.5380630493164,0.9369576573371887
0.0008145062499999999,2021-07-18 12:53:03.611660,,,,
,2021-07-18 12:53:27.306566,113.75699615478516,4.0,,
,2021-07-18 12:53:40.373472,,4.0,89.0633773803711,0.8349108695983887
0.0007737809374999998,2021-07-18 12:53:40.384442,,,,
,2021-07-18 12:54:04.096814,112.82305145263672,5.0,,
,2021-07-18 12:54:14.074475,,5.0,93.85811614990234,0.8795256614685059
0.0007350918906249997,2021-07-18 12:54:14.089435,,,,
,2021-07-18 12:54:36.878913,111.99844360351562,6.0,,
,2021-07-18 12:54:46.977043,,6.0,94.58680725097656,0.8901346921920776
0.0006983372960937497,2021-07-18 12:54:46.990040,,,,
,2021-07-18 12:55:09.817273,108.56757354736328,7.0,,
,2021-07-18 12:55:19.799344,,7.0,96.2894287109375,0.9103800654411316
0.0006634204312890621,2021-07-18 12:55:19.813306,,,,
,2021-07-18 12:55:42.557892,108.39910888671875,8.0,,
,2021-07-18 12:55:52.496172,,8.0,90.6502685546875,0.8526402115821838
0.000630249409724609,2021-07-18 12:55:52.508139,,,,
,2021-07-18 12:56:15.236335,109.35136413574219,9.0,,
,2021-07-18 12:56:26.571279,,9.0,85.8866958618164,0.8068260550498962
0.0005987369392383785,2021-07-18 12:56:26.583248,,,,
,2021-07-18 12:56:49.483059,109.5347900390625,10.0,,
,2021-07-18 12:57:00.889597,,10.0,84.36164093017578,0.7899086475372314
0.0005688000922764595,2021-07-18 12:57:00.901565,,,,
,2021-07-18 12:57:23.690427,108.94834899902344,11.0,,
,2021-07-18 12:57:34.946525,,11.0,83.37098693847656,0.782062828540802
0.0005403600876626365,2021-07-18 12:57:34.957474,,,,
,2021-07-18 12:57:57.717314,107.77330017089844,12.0,,
,2021-07-18 12:58:07.828590,,12.0,113.6976547241211,1.089288353919983
0.0005133420832795047,2021-07-18 12:58:07.840588,,,,
,2021-07-18 12:58:30.673674,109.69210815429688,13.0,,
,2021-07-18 12:58:41.042447,,13.0,94.31764221191406,0.8890398740768433
0.00048767497911552944,2021-07-18 12:58:41.051424,,,,
,2021-07-18 12:59:04.545494,106.45838928222656,14.0,,
,2021-07-18 12:59:14.968564,,14.0,85.3379898071289,0.8056750297546387
0.00046329123015975297,2021-07-18 12:59:14.979534,,,,
,2021-07-18 12:59:37.813076,106.06674194335938,15.0,,
,2021-07-18 12:59:47.889659,,15.0,100.69567108154297,0.9550850987434387
0.0004401266686517653,2021-07-18 12:59:47.909604,,,,
,2021-07-18 13:00:11.785230,104.74105072021484,16.0,,
,2021-07-18 13:00:21.979791,,16.0,87.08100128173828,0.8152578473091125
0.00041812033521917703,2021-07-18 13:00:21.988795,,,,
,2021-07-18 13:00:45.626593,105.80387115478516,17.0,,
,2021-07-18 13:00:56.703107,,17.0,86.71754455566406,0.8125197887420654
0.00039721431845821814,2021-07-18 13:00:56.714078,,,,
,2021-07-18 13:01:21.082331,107.02818298339844,18.0,,
,2021-07-18 13:01:33.414195,,18.0,87.86104583740234,0.8255336284637451
0.0003773536025353072,2021-07-18 13:01:33.448101,,,,
,2021-07-18 13:01:58.192912,103.54505920410156,19.0,,
,2021-07-18 13:02:10.605028,,19.0,82.33580017089844,0.771268904209137
0.0003584859224085418,2021-07-18 13:02:10.614995,,,,
,2021-07-18 13:02:35.349554,104.38088989257812,20.0,,
,2021-07-18 13:02:46.511622,,20.0,88.52486419677734,0.8319868445396423
0.0003405616262881147,2021-07-18 13:02:46.525585,,,,
,2021-07-18 13:03:09.965822,104.7176513671875,21.0,,
,2021-07-18 13:03:20.459682,,21.0,83.69235229492188,0.7836775779724121
0.00032353354497370894,2021-07-18 13:03:20.473644,,,,
,2021-07-18 13:03:43.830562,105.2021484375,22.0,,
,2021-07-18 13:03:54.293212,,22.0,85.13773345947266,0.7999447584152222
0.00030735686772502346,2021-07-18 13:03:54.307173,,,,
,2021-07-18 13:04:17.744079,105.90382385253906,23.0,,
,2021-07-18 13:04:28.165725,,23.0,88.92774963378906,0.836421549320221
0.00029198902433877225,2021-07-18 13:04:28.176725,,,,
,2021-07-18 13:04:51.561151,102.53152465820312,24.0,,
,2021-07-18 13:05:01.585234,,24.0,98.2632827758789,0.9338293075561523
0.00027738957312183364,2021-07-18 13:05:01.596206,,,,
,2021-07-18 13:05:24.424854,103.7734146118164,25.0,,
,2021-07-18 13:05:34.410397,,25.0,84.73653411865234,0.7965490818023682
0.0002635200944657419,2021-07-18 13:05:34.423361,,,,
,2021-07-18 13:05:57.263885,101.2789535522461,26.0,,
,2021-07-18 13:06:07.456680,,26.0,82.75460815429688,0.7746042609214783
0.0002503440897424548,2021-07-18 13:06:07.474631,,,,
,2021-07-18 13:06:30.299545,101.84307098388672,27.0,,
,2021-07-18 13:06:41.030079,,27.0,84.44341278076172,0.792172372341156
0.00023782688525533205,2021-07-18 13:06:41.040054,,,,
,2021-07-18 13:07:04.270906,102.7544174194336,28.0,,
,2021-07-18 13:07:14.572693,,28.0,87.26177215576172,0.821175217628479
0.00022593554099256544,2021-07-18 13:07:14.587650,,,,
,2021-07-18 13:07:38.240228,101.71524047851562,29.0,,
,2021-07-18 13:07:49.860284,,29.0,81.77985382080078,0.7662496566772461
0.00021463876394293716,2021-07-18 13:07:49.870258,,,,
,2021-07-18 13:08:13.074059,101.59443664550781,30.0,,
,2021-07-18 13:08:25.181673,,30.0,80.21218872070312,0.7501376271247864
0.0002039068257457903,2021-07-18 13:08:25.193642,,,,
,2021-07-18 13:08:49.438128,101.17323303222656,31.0,,
,2021-07-18 13:09:00.974144,,31.0,84.54777526855469,0.7935721278190613
0.00019371148445850077,2021-07-18 13:09:00.992093,,,,
,2021-07-18 13:09:25.478879,100.43151092529297,32.0,,
,2021-07-18 13:09:37.212435,,32.0,93.02710723876953,0.8801194429397583
0.00018402591023557573,2021-07-18 13:09:37.226427,,,,
,2021-07-18 13:10:01.837849,99.86780548095703,33.0,,
,2021-07-18 13:10:14.295940,,33.0,79.34140014648438,0.7415374517440796
0.00017482461472379692,2021-07-18 13:10:14.310900,,,,
,2021-07-18 13:10:38.746856,100.45710754394531,34.0,,
,2021-07-18 13:10:50.762281,,34.0,86.49427795410156,0.8161295056343079
0.00016608338398760707,2021-07-18 13:10:50.776216,,,,
,2021-07-18 13:11:14.704615,98.83956909179688,35.0,,
,2021-07-18 13:11:25.787773,,35.0,81.89871215820312,0.7681394219398499
0.0001577792147882267,2021-07-18 13:11:25.801733,,,,
,2021-07-18 13:11:50.202340,101.00273895263672,36.0,,
,2021-07-18 13:12:00.899983,,36.0,79.94588470458984,0.7511401176452637
0.00014989025404881537,2021-07-18 13:12:00.914944,,,,
,2021-07-18 13:12:23.793857,99.92810821533203,37.0,,
,2021-07-18 13:12:35.140373,,37.0,79.08969116210938,0.7432106137275696
0.00014239574134637458,2021-07-18 13:12:35.151342,,,,
,2021-07-18 13:12:58.228707,99.63103485107422,38.0,,
