lr-RAdam,created_at,loss/train,epoch,loss/val,score/val
0.001,2021-07-18 04:44:10.324847,,,,
,2021-07-18 04:44:32.843218,1613.184326171875,0.0,,
,2021-07-18 04:44:43.864700,,0.0,1264.5064697265625,2.011003255844116
0.00095,2021-07-18 04:44:43.881625,,,,
,2021-07-18 04:45:06.052648,457.6162414550781,1.0,,
,2021-07-18 04:45:16.115531,,1.0,168.53163146972656,1.589152216911316
0.0009025,2021-07-18 04:45:16.125504,,,,
,2021-07-18 04:45:38.456690,118.28815460205078,2.0,,
,2021-07-18 04:45:48.581099,,2.0,101.15562438964844,0.9630151391029358
0.000857375,2021-07-18 04:45:48.591104,,,,
,2021-07-18 04:46:11.362169,114.29367065429688,3.0,,
,2021-07-18 04:46:20.568431,,3.0,111.70819854736328,1.0645688772201538
0.0008145062499999999,2021-07-18 04:46:20.577441,,,,
,2021-07-18 04:46:43.676732,113.24288940429688,4.0,,
,2021-07-18 04:46:54.077533,,4.0,95.77962493896484,0.9031760096549988
0.0007737809374999998,2021-07-18 04:46:54.090496,,,,
,2021-07-18 04:47:16.962959,111.43341827392578,5.0,,
,2021-07-18 04:47:25.968850,,5.0,107.04105377197266,1.0153086185455322
0.0007350918906249997,2021-07-18 04:47:25.978847,,,,
,2021-07-18 04:47:49.386898,110.61543273925781,6.0,,
,2021-07-18 04:47:59.816966,,6.0,86.67948913574219,0.8170130252838135
0.0006983372960937497,2021-07-18 04:47:59.826479,,,,
,2021-07-18 04:48:23.072255,108.95308685302734,7.0,,
,2021-07-18 04:48:31.866176,,7.0,93.84219360351562,0.8934191465377808
0.0006634204312890621,2021-07-18 04:48:31.875180,,,,
,2021-07-18 04:48:54.744531,108.85250854492188,8.0,,
,2021-07-18 04:49:03.352430,,8.0,95.53805541992188,0.9000135660171509
0.000630249409724609,2021-07-18 04:49:03.361429,,,,
,2021-07-18 04:49:26.010441,107.01250457763672,9.0,,
,2021-07-18 04:49:34.606249,,9.0,91.4211196899414,0.8592373728752136
0.0005987369392383785,2021-07-18 04:49:34.615201,,,,
,2021-07-18 04:49:57.292285,108.1920394897461,10.0,,
,2021-07-18 04:50:05.870958,,10.0,89.83306121826172,0.8483858108520508
0.0005688000922764595,2021-07-18 04:50:05.880960,,,,
,2021-07-18 04:50:28.570586,104.79656982421875,11.0,,
,2021-07-18 04:50:37.172953,,11.0,91.88504791259766,0.8661177158355713
0.0005403600876626365,2021-07-18 04:50:37.184919,,,,
,2021-07-18 04:50:59.900196,105.48841094970703,12.0,,
,2021-07-18 04:51:08.559168,,12.0,86.7522964477539,0.8140287399291992
0.0005133420832795047,2021-07-18 04:51:08.568676,,,,
,2021-07-18 04:51:31.298818,106.71680450439453,13.0,,
,2021-07-18 04:51:41.343431,,13.0,84.62744140625,0.7927489876747131
0.00048767497911552944,2021-07-18 04:51:41.353375,,,,
,2021-07-18 04:52:04.102518,105.14419555664062,14.0,,
,2021-07-18 04:52:12.698809,,14.0,87.42404174804688,0.8184539675712585
0.00046329123015975297,2021-07-18 04:52:12.707805,,,,
,2021-07-18 04:52:35.382582,106.60193634033203,15.0,,
,2021-07-18 04:52:44.045281,,15.0,97.8408203125,0.9331205487251282
0.0004401266686517653,2021-07-18 04:52:44.055255,,,,
,2021-07-18 04:53:06.903601,104.34928131103516,16.0,,
,2021-07-18 04:53:15.566603,,16.0,89.66144561767578,0.8500126600265503
