lr-Adam,created_at,loss/train,epoch,loss/val,score/val
0.0005,2021-07-22 00:59:46.831597,,,,
,2021-07-22 00:59:58.438678,1407.392333984375,0.0,,
,2021-07-22 01:00:02.113925,,0.0,770.7710571289062,2.014519691467285
0.0005,2021-07-22 01:00:02.130858,,,,
,2021-07-22 01:00:16.375496,231.1012420654297,1.0,,
,2021-07-22 01:00:20.901019,,1.0,131.142822265625,1.2511347532272339
0.0005,2021-07-22 01:00:20.920928,,,,
,2021-07-22 01:00:35.199780,113.72035217285156,2.0,,
,2021-07-22 01:00:39.858680,,2.0,107.32501220703125,1.0144003629684448
0.0005,2021-07-22 01:00:39.872211,,,,
,2021-07-22 01:00:53.268690,109.77793884277344,3.0,,
,2021-07-22 01:00:57.502854,,3.0,92.89918518066406,0.8693562150001526
0.0005,2021-07-22 01:00:57.517492,,,,
,2021-07-22 01:01:11.214213,108.24248504638672,4.0,,
,2021-07-22 01:01:14.891993,,4.0,100.71910858154297,0.9594844579696655
0.0005,2021-07-22 01:01:14.906242,,,,
,2021-07-22 01:01:28.945873,108.6806640625,5.0,,
,2021-07-22 01:01:33.439970,,5.0,91.57926177978516,0.8551850914955139
0.0005,2021-07-22 01:01:33.461128,,,,
,2021-07-22 01:01:47.330133,109.59819793701172,6.0,,
,2021-07-22 01:01:51.831807,,6.0,90.85985565185547,0.8514683842658997
0.0005,2021-07-22 01:01:51.845767,,,,
,2021-07-22 01:02:05.390131,107.4190902709961,7.0,,
,2021-07-22 01:02:09.037391,,7.0,97.81990051269531,0.9168745279312134
0.0005,2021-07-22 01:02:09.052660,,,,
,2021-07-22 01:02:22.927881,106.67788696289062,8.0,,
,2021-07-22 01:02:27.243625,,8.0,90.67027282714844,0.8482738137245178
0.0005,2021-07-22 01:02:27.258419,,,,
,2021-07-22 01:02:41.379718,105.98043060302734,9.0,,
,2021-07-22 01:02:45.389923,,9.0,99.1598892211914,0.9457865357398987
0.0005,2021-07-22 01:02:45.405258,,,,
,2021-07-22 01:02:59.478300,107.17874145507812,10.0,,
,2021-07-22 01:03:03.851656,,10.0,87.44261169433594,0.8170681595802307
0.0005,2021-07-22 01:03:03.869368,,,,
,2021-07-22 01:03:18.810849,106.1986312866211,11.0,,
,2021-07-22 01:03:22.710140,,11.0,101.0914077758789,0.956535816192627
0.0005,2021-07-22 01:03:22.726000,,,,
,2021-07-22 01:03:36.817081,107.86421966552734,12.0,,
,2021-07-22 01:03:40.514499,,12.0,93.97390747070312,0.8859460353851318
0.0005,2021-07-22 01:03:40.529127,,,,
,2021-07-22 01:03:54.244031,105.37165832519531,13.0,,
,2021-07-22 01:03:58.560288,,13.0,86.56554412841797,0.8089608550071716
0.0005,2021-07-22 01:03:58.575235,,,,
,2021-07-22 01:04:12.033845,104.05529022216797,14.0,,
,2021-07-22 01:04:15.936928,,14.0,90.06100463867188,0.8421148657798767
0.0005,2021-07-22 01:04:15.953299,,,,
,2021-07-22 01:04:30.188796,107.05267333984375,15.0,,
,2021-07-22 01:04:34.128850,,15.0,88.90936279296875,0.8325728178024292
0.0005,2021-07-22 01:04:34.146024,,,,
,2021-07-22 01:04:47.598399,104.79056549072266,16.0,,
,2021-07-22 01:04:51.261933,,16.0,87.8091812133789,0.8259267210960388
0.0005,2021-07-22 01:04:51.278000,,,,
,2021-07-22 01:05:05.083785,108.08761596679688,17.0,,
,2021-07-22 01:05:08.791000,,17.0,90.70903778076172,0.8539391160011292
0.0005,2021-07-22 01:05:08.806362,,,,
,2021-07-22 01:05:22.474529,104.82275390625,18.0,,
,2021-07-22 01:05:26.320244,,18.0,87.91729736328125,0.8265871405601501
0.0005,2021-07-22 01:05:26.336587,,,,
,2021-07-22 01:05:41.003914,103.22158813476562,19.0,,
,2021-07-22 01:05:44.776500,,19.0,93.96728515625,0.879632830619812
0.0005,2021-07-22 01:05:44.792555,,,,
,2021-07-22 01:05:58.472593,103.80574035644531,20.0,,
,2021-07-22 01:06:02.772607,,20.0,86.05499267578125,0.8056830763816833
0.0005,2021-07-22 01:06:02.788583,,,,
,2021-07-22 01:06:16.352987,103.09766387939453,21.0,,
,2021-07-22 01:06:20.008792,,21.0,88.9060287475586,0.8336122035980225
0.0005,2021-07-22 01:06:20.024563,,,,
,2021-07-22 01:06:34.082672,108.4404296875,22.0,,
,2021-07-22 01:06:37.995416,,22.0,90.7939453125,0.8542014360427856
0.0005,2021-07-22 01:06:38.011900,,,,
,2021-07-22 01:06:52.332764,104.64450073242188,23.0,,
,2021-07-22 01:06:56.057381,,23.0,87.67721557617188,0.8184358477592468
0.0005,2021-07-22 01:06:56.073989,,,,
,2021-07-22 01:07:09.615896,105.18181610107422,24.0,,
,2021-07-22 01:07:13.178799,,24.0,89.2395248413086,0.8315930962562561
0.0005,2021-07-22 01:07:13.193997,,,,
,2021-07-22 01:07:26.860134,102.88076782226562,25.0,,
,2021-07-22 01:07:30.695346,,25.0,88.02363586425781,0.8242205381393433
0.0005,2021-07-22 01:07:30.711930,,,,
,2021-07-22 01:07:44.850673,103.53712463378906,26.0,,
,2021-07-22 01:07:49.304518,,26.0,86.78240203857422,0.8107659816741943
0.0005,2021-07-22 01:07:49.321195,,,,
,2021-07-22 01:08:02.957139,105.48357391357422,27.0,,
,2021-07-22 01:08:07.123220,,27.0,92.99407196044922,0.8724875450134277
0.0005,2021-07-22 01:08:07.139520,,,,
,2021-07-22 01:08:21.394019,106.3603286743164,28.0,,
,2021-07-22 01:08:25.300462,,28.0,87.1679916381836,0.8201823830604553
0.0005,2021-07-22 01:08:25.317509,,,,
,2021-07-22 01:08:40.018992,102.8714599609375,29.0,,
,2021-07-22 01:08:43.815211,,29.0,89.05260467529297,0.8358882069587708
0.0005,2021-07-22 01:08:43.830834,,,,
,2021-07-22 01:08:58.574399,104.85384368896484,30.0,,
,2021-07-22 01:09:02.317213,,30.0,86.16860961914062,0.8072339296340942
0.0005,2021-07-22 01:09:02.334286,,,,
,2021-07-22 01:09:17.074784,100.37908935546875,31.0,,
,2021-07-22 01:09:20.993691,,31.0,88.29193115234375,0.8247629404067993
0.0005,2021-07-22 01:09:21.010262,,,,
,2021-07-22 01:09:35.461218,102.20327758789062,32.0,,
,2021-07-22 01:09:39.673646,,32.0,108.63874816894531,1.0293400287628174
0.0005,2021-07-22 01:09:39.689212,,,,
,2021-07-22 01:09:53.944289,103.0282211303711,33.0,,
,2021-07-22 01:09:58.155569,,33.0,89.6174545288086,0.84165358543396
0.0005,2021-07-22 01:09:58.170065,,,,
,2021-07-22 01:10:12.702266,102.30850219726562,34.0,,
,2021-07-22 01:10:17.974985,,34.0,84.76963806152344,0.7940361499786377
0.0005,2021-07-22 01:10:17.990508,,,,
,2021-07-22 01:10:32.597721,101.57322692871094,35.0,,
,2021-07-22 01:10:36.620777,,35.0,88.2657241821289,0.8274626135826111
0.0005,2021-07-22 01:10:36.637433,,,,
,2021-07-22 01:10:50.304823,103.30593872070312,36.0,,
,2021-07-22 01:10:54.039775,,36.0,97.03692626953125,0.9147575497627258
0.0005,2021-07-22 01:10:54.055706,,,,
,2021-07-22 01:11:07.878665,101.57635498046875,37.0,,
,2021-07-22 01:11:11.618241,,37.0,89.74181365966797,0.8438805937767029
0.0005,2021-07-22 01:11:11.633919,,,,
,2021-07-22 01:11:25.594233,101.43341827392578,38.0,,
,2021-07-22 01:11:29.661163,,38.0,92.1856460571289,0.8641065955162048
0.0005,2021-07-22 01:11:29.677434,,,,
,2021-07-22 01:11:44.610476,102.40431213378906,39.0,,
,2021-07-22 01:11:48.466198,,39.0,90.92306518554688,0.850274384021759
0.0005,2021-07-22 01:11:48.483166,,,,
,2021-07-22 01:12:02.595224,103.36265563964844,40.0,,
,2021-07-22 01:12:06.481908,,40.0,86.03370666503906,0.8114328980445862
0.0005,2021-07-22 01:12:06.498446,,,,
,2021-07-22 01:12:21.314095,100.53316497802734,41.0,,
,2021-07-22 01:12:25.156646,,41.0,92.78524780273438,0.8691579699516296
0.0005,2021-07-22 01:12:25.172312,,,,
,2021-07-22 01:12:40.398017,101.58448028564453,42.0,,
,2021-07-22 01:12:44.531692,,42.0,88.66441345214844,0.8310860991477966
0.0005,2021-07-22 01:12:44.548972,,,,
,2021-07-22 01:12:59.189990,102.28435516357422,43.0,,
,2021-07-22 01:13:03.144250,,43.0,91.42398071289062,0.8546923398971558
0.0005,2021-07-22 01:13:03.160110,,,,
,2021-07-22 01:13:18.366505,98.55140686035156,44.0,,
,2021-07-22 01:13:22.357297,,44.0,88.33757781982422,0.8315006494522095
0.0005,2021-07-22 01:13:22.372725,,,,
,2021-07-22 01:13:37.662828,100.77874755859375,45.0,,
,2021-07-22 01:13:41.832290,,45.0,88.63482666015625,0.8364680409431458
0.0005,2021-07-22 01:13:41.848771,,,,
,2021-07-22 01:13:57.162666,99.28425598144531,46.0,,
,2021-07-22 01:14:01.085016,,46.0,105.60382080078125,1.0011075735092163
0.0005,2021-07-22 01:14:01.101331,,,,
,2021-07-22 01:14:16.454445,98.82861328125,47.0,,
,2021-07-22 01:14:20.580985,,47.0,90.78469848632812,0.8497854471206665
0.0005,2021-07-22 01:14:20.598492,,,,
,2021-07-22 01:14:35.071497,100.34767150878906,48.0,,
,2021-07-22 01:14:39.604917,,48.0,84.20731353759766,0.7879499793052673
0.0005,2021-07-22 01:14:39.622601,,,,
,2021-07-22 01:14:53.846038,99.06163787841797,49.0,,
,2021-07-22 01:14:58.399938,,49.0,83.18171691894531,0.7783280611038208
0.0005,2021-07-22 01:14:58.419171,,,,
,2021-07-22 01:15:12.950484,101.93003845214844,50.0,,
,2021-07-22 01:15:17.171828,,50.0,86.05494689941406,0.8031571507453918
0.0005,2021-07-22 01:15:17.189201,,,,
,2021-07-22 01:15:32.081918,100.6629867553711,51.0,,
,2021-07-22 01:15:36.262881,,51.0,83.9358139038086,0.7860968112945557
0.0005,2021-07-22 01:15:36.279919,,,,
,2021-07-22 01:15:50.873619,100.09487915039062,52.0,,
