lr-Adam,created_at,loss/train,epoch,loss/val,score/val
0.0005,2021-07-22 02:54:21.246048,,,,
,2021-07-22 02:54:33.624540,1405.5987548828125,0.0,,
,2021-07-22 02:54:37.554414,,0.0,757.43798828125,2.0523681640625
0.0005,2021-07-22 02:54:37.586815,,,,
,2021-07-22 02:54:49.957657,227.90028381347656,1.0,,
,2021-07-22 02:54:53.817322,,1.0,191.2102813720703,1.8560950756072998
0.0005,2021-07-22 02:54:53.832420,,,,
,2021-07-22 02:55:05.976244,115.73780059814453,2.0,,
,2021-07-22 02:55:09.792960,,2.0,119.59446716308594,1.1284056901931763
0.0005,2021-07-22 02:55:09.814516,,,,
,2021-07-22 02:55:21.965293,111.34163665771484,3.0,,
,2021-07-22 02:55:25.909992,,3.0,96.76210021972656,0.8935815691947937
0.0005,2021-07-22 02:55:25.928376,,,,
,2021-07-22 02:55:38.361782,109.3714828491211,4.0,,
,2021-07-22 02:55:41.668578,,4.0,102.14613342285156,0.9540520310401917
0.0005,2021-07-22 02:55:41.684224,,,,
,2021-07-22 02:55:54.052553,105.7983169555664,5.0,,
,2021-07-22 02:55:57.838156,,5.0,95.728759765625,0.8833781480789185
0.0005,2021-07-22 02:55:57.854473,,,,
,2021-07-22 02:56:09.890509,107.30145263671875,6.0,,
,2021-07-22 02:56:13.031170,,6.0,106.96697998046875,0.9997438788414001
0.0005,2021-07-22 02:56:13.046042,,,,
,2021-07-22 02:56:25.236144,108.1476058959961,7.0,,
,2021-07-22 02:56:28.400403,,7.0,99.46927642822266,0.9256960153579712
0.0005,2021-07-22 02:56:28.415294,,,,
,2021-07-22 02:56:40.950699,107.69600677490234,8.0,,
,2021-07-22 02:56:44.287662,,8.0,113.42585754394531,1.067616581916809
0.0005,2021-07-22 02:56:44.303281,,,,
,2021-07-22 02:56:56.723755,108.18181610107422,9.0,,
,2021-07-22 02:56:59.847823,,9.0,106.97010803222656,1.0027973651885986
0.0005,2021-07-22 02:56:59.863009,,,,
,2021-07-22 02:57:12.241773,108.84805297851562,10.0,,
,2021-07-22 02:57:15.525002,,10.0,104.40037536621094,0.9818200469017029
0.0005,2021-07-22 02:57:15.541005,,,,
,2021-07-22 02:57:28.079132,108.21294403076172,11.0,,
,2021-07-22 02:57:31.201034,,11.0,98.61781311035156,0.919003427028656
0.0005,2021-07-22 02:57:31.215876,,,,
,2021-07-22 02:57:43.279008,108.23690032958984,12.0,,
,2021-07-22 02:57:46.434909,,12.0,101.37210083007812,0.9405663013458252
0.0005,2021-07-22 02:57:46.450865,,,,
,2021-07-22 02:57:58.763313,107.46742248535156,13.0,,
,2021-07-22 02:58:01.941322,,13.0,112.38420867919922,1.0610878467559814
0.0005,2021-07-22 02:58:01.957058,,,,
,2021-07-22 02:58:14.136700,108.27149963378906,14.0,,
,2021-07-22 02:58:17.427516,,14.0,119.53630828857422,1.1321287155151367
0.0005,2021-07-22 02:58:17.443102,,,,
,2021-07-22 02:58:30.023853,107.55634307861328,15.0,,
,2021-07-22 02:58:33.295304,,15.0,100.30563354492188,0.9336971640586853
0.0005,2021-07-22 02:58:33.310038,,,,
,2021-07-22 02:58:45.432656,107.52913665771484,16.0,,
,2021-07-22 02:58:48.648050,,16.0,99.4296875,0.922400712966919
0.0005,2021-07-22 02:58:48.665015,,,,
,2021-07-22 02:59:01.075370,106.89447021484375,17.0,,
,2021-07-22 02:59:04.805938,,17.0,91.53196716308594,0.8482035398483276
0.0005,2021-07-22 02:59:04.824694,,,,
,2021-07-22 02:59:17.019673,104.49148559570312,18.0,,
,2021-07-22 02:59:20.452233,,18.0,102.09927368164062,0.9522140622138977
0.0005,2021-07-22 02:59:20.477548,,,,
,2021-07-22 02:59:33.041675,103.49441528320312,19.0,,
,2021-07-22 02:59:37.047991,,19.0,89.89562225341797,0.8293991684913635
0.0005,2021-07-22 02:59:37.069430,,,,
,2021-07-22 02:59:49.217135,106.1158676147461,20.0,,
,2021-07-22 02:59:52.367854,,20.0,99.8193359375,0.9427703619003296
0.0005,2021-07-22 02:59:52.383329,,,,
,2021-07-22 03:00:04.656527,103.88312530517578,21.0,,
,2021-07-22 03:00:07.763160,,21.0,97.20732879638672,0.9057604074478149
0.0005,2021-07-22 03:00:07.779183,,,,
,2021-07-22 03:00:19.827938,105.2384262084961,22.0,,
,2021-07-22 03:00:23.150875,,22.0,103.52686309814453,0.9640269875526428
0.0005,2021-07-22 03:00:23.167347,,,,
,2021-07-22 03:00:35.585563,104.83137512207031,23.0,,
,2021-07-22 03:00:38.972105,,23.0,93.06533813476562,0.8579129576683044
0.0005,2021-07-22 03:00:38.987740,,,,
,2021-07-22 03:00:51.158669,104.98898315429688,24.0,,
,2021-07-22 03:00:54.366577,,24.0,97.0439224243164,0.8988783359527588
0.0005,2021-07-22 03:00:54.383061,,,,
,2021-07-22 03:01:06.440761,102.21684265136719,25.0,,
,2021-07-22 03:01:09.609466,,25.0,93.30268096923828,0.8713898658752441
0.0005,2021-07-22 03:01:09.626599,,,,
,2021-07-22 03:01:21.614675,101.73616790771484,26.0,,
,2021-07-22 03:01:24.719856,,26.0,106.38467407226562,0.9997079372406006
0.0005,2021-07-22 03:01:24.736781,,,,
,2021-07-22 03:01:37.173751,104.48291015625,27.0,,
,2021-07-22 03:01:41.167751,,27.0,88.2296371459961,0.8120589852333069
0.0005,2021-07-22 03:01:41.182511,,,,
,2021-07-22 03:01:53.616084,104.9716567993164,28.0,,
,2021-07-22 03:01:56.776603,,28.0,92.98275756835938,0.8664907813072205
0.0005,2021-07-22 03:01:56.793089,,,,
,2021-07-22 03:02:08.944443,103.28826141357422,29.0,,
,2021-07-22 03:02:12.060895,,29.0,94.54621887207031,0.8769103288650513
0.0005,2021-07-22 03:02:12.078664,,,,
,2021-07-22 03:02:24.176992,104.27045440673828,30.0,,
,2021-07-22 03:02:27.287010,,30.0,94.4068832397461,0.8722739219665527
0.0005,2021-07-22 03:02:27.302792,,,,
,2021-07-22 03:02:39.490912,101.5206527709961,31.0,,
,2021-07-22 03:02:42.820171,,31.0,91.6156005859375,0.8449864387512207
0.0005,2021-07-22 03:02:42.836436,,,,
,2021-07-22 03:02:55.299728,102.84020233154297,32.0,,
,2021-07-22 03:02:58.490947,,32.0,96.70294952392578,0.9021024107933044
0.0005,2021-07-22 03:02:58.506799,,,,
,2021-07-22 03:03:10.744025,103.43350982666016,33.0,,
,2021-07-22 03:03:14.083385,,33.0,89.11994171142578,0.8223231434822083
0.0005,2021-07-22 03:03:14.099659,,,,
,2021-07-22 03:03:26.584629,105.84302520751953,34.0,,
,2021-07-22 03:03:30.010413,,34.0,94.92790985107422,0.8759152889251709
0.0005,2021-07-22 03:03:30.027505,,,,
,2021-07-22 03:03:42.149744,106.79764556884766,35.0,,
,2021-07-22 03:03:45.364485,,35.0,93.8846664428711,0.8653289675712585
0.0005,2021-07-22 03:03:45.380682,,,,
,2021-07-22 03:03:57.553187,104.18980407714844,36.0,,
,2021-07-22 03:04:00.727707,,36.0,94.7646255493164,0.8799085021018982
0.0005,2021-07-22 03:04:00.743991,,,,
,2021-07-22 03:04:12.846455,104.64974212646484,37.0,,
,2021-07-22 03:04:16.871331,,37.0,88.1103515625,0.813481867313385
0.0005,2021-07-22 03:04:16.896155,,,,
,2021-07-22 03:04:29.440533,103.57732391357422,38.0,,
,2021-07-22 03:04:32.790447,,38.0,89.64423370361328,0.8303334712982178
0.0005,2021-07-22 03:04:32.807493,,,,
,2021-07-22 03:04:45.047308,105.02518463134766,39.0,,
,2021-07-22 03:04:48.205943,,39.0,89.59956359863281,0.8279499411582947
0.0005,2021-07-22 03:04:48.222863,,,,
,2021-07-22 03:05:00.428259,105.13023376464844,40.0,,
,2021-07-22 03:05:03.574416,,40.0,90.0342788696289,0.8381374478340149
0.0005,2021-07-22 03:05:03.591080,,,,
,2021-07-22 03:05:15.703305,101.42205047607422,41.0,,
,2021-07-22 03:05:19.736094,,41.0,86.93783569335938,0.8042884469032288
0.0005,2021-07-22 03:05:19.752392,,,,
,2021-07-22 03:05:32.386594,102.41732788085938,42.0,,
